cluster,week,hour,count,avg_priority,anomaly,is_anomaly,top_junction,risk_score
1,51,3,459,2.1481481481481484,-1,1,BTP082 - KR Market Junction,7.55
1,3,4,451,2.073170731707317,-1,1,BTP082 - KR Market Junction,7.55
1,14,19,424,3.042452830188679,-1,1,BTP082 - KR Market Junction,7.55
1,46,4,412,2.016990291262136,-1,1,BTP082 - KR Market Junction,7.55
1,14,3,408,2.019607843137255,-1,1,BTP082 - KR Market Junction,7.55
1,9,19,407,3.011056511056511,-1,1,BTP082 - KR Market Junction,7.55
1,6,4,406,2.105911330049261,-1,1,BTP082 - KR Market Junction,7.55
1,49,2,401,2.1022443890274314,-1,1,BTP082 - KR Market Junction,7.55
1,52,3,379,2.055408970976253,-1,1,BTP082 - KR Market Junction,7.55
1,4,3,378,2.1455026455026456,-1,1,BTP082 - KR Market Junction,7.55
2,13,5,374,2.072192513368984,-1,1,BTP051 - Safina Plaza Junction,7.16
1,6,3,367,2.0817438692098094,-1,1,BTP082 - KR Market Junction,7.55
1,50,3,354,2.189265536723164,-1,1,BTP082 - KR Market Junction,7.55
1,51,5,353,2.144475920679887,-1,1,BTP082 - KR Market Junction,7.55
1,14,4,352,2.0426136363636362,-1,1,BTP082 - KR Market Junction,7.55
1,49,3,346,2.2167630057803467,-1,1,BTP082 - KR Market Junction,7.55
1,13,3,342,2.1198830409356724,-1,1,BTP082 - KR Market Junction,7.55
1,1,4,339,2.017699115044248,-1,1,BTP082 - KR Market Junction,7.55
1,46,3,337,2.121661721068249,-1,1,BTP082 - KR Market Junction,7.55
1,46,0,336,2.080357142857143,-1,1,BTP082 - KR Market Junction,7.55
1,4,4,334,2.2035928143712575,-1,1,BTP082 - KR Market Junction,7.55
1,11,3,334,2.0209580838323356,-1,1,BTP082 - KR Market Junction,7.55
1,3,5,331,2.163141993957704,-1,1,BTP082 - KR Market Junction,7.55
1,46,5,329,2.054711246200608,-1,1,BTP082 - KR Market Junction,7.55
1,2,3,328,2.1280487804878048,-1,1,BTP082 - KR Market Junction,7.55
1,2,4,328,2.0548780487804876,-1,1,BTP082 - KR Market Junction,7.55
1,9,4,327,2.055045871559633,-1,1,BTP082 - KR Market Junction,7.55
1,2,5,325,2.16,-1,1,BTP082 - KR Market Junction,7.55
1,52,4,323,2.0340557275541795,-1,1,BTP082 - KR Market Junction,7.55
1,46,2,322,2.040372670807453,-1,1,BTP082 - KR Market Junction,7.55
1,48,3,318,2.2264150943396226,-1,1,BTP082 - KR Market Junction,7.55
1,51,4,317,2.1608832807570977,-1,1,BTP082 - KR Market Junction,7.55
1,48,5,316,2.0664556962025316,-1,1,BTP082 - KR Market Junction,7.55
1,3,0,313,2.1565495207667733,-1,1,BTP082 - KR Market Junction,7.55
1,50,5,310,2.035483870967742,-1,1,BTP082 - KR Market Junction,7.55
1,49,4,310,2.1258064516129034,-1,1,BTP082 - KR Market Junction,7.55
1,3,2,310,2.1451612903225805,-1,1,BTP082 - KR Market Junction,7.55
1,50,4,308,2.25,-1,1,BTP082 - KR Market Junction,7.55
1,1,3,308,2.00974025974026,-1,1,BTP082 - KR Market Junction,7.55
1,2,19,307,3.5814332247557004,-1,1,BTP082 - KR Market Junction,7.55
1,8,6,307,2.1368078175895766,-1,1,BTP082 - KR Market Junction,7.55
1,47,3,304,2.236842105263158,-1,1,BTP082 - KR Market Junction,7.55
1,50,0,299,2.1036789297658864,-1,1,BTP082 - KR Market Junction,7.55
2,46,3,298,2.0704697986577183,-1,1,BTP051 - Safina Plaza Junction,7.16
2,46,5,298,2.161073825503356,-1,1,BTP051 - Safina Plaza Junction,7.16
2,46,2,296,2.0,-1,1,BTP051 - Safina Plaza Junction,7.16
1,48,4,296,2.108108108108108,-1,1,BTP082 - KR Market Junction,7.55
1,47,4,295,2.0406779661016947,-1,1,BTP082 - KR Market Junction,7.55
1,14,5,291,2.089347079037801,-1,1,BTP082 - KR Market Junction,7.55
2,47,5,290,2.2379310344827585,-1,1,BTP051 - Safina Plaza Junction,7.16
1,8,4,282,2.1631205673758864,-1,1,BTP082 - KR Market Junction,7.55
1,1,19,280,3.0,-1,1,BTP082 - KR Market Junction,7.55
1,2,0,279,2.150537634408602,-1,1,BTP082 - KR Market Junction,7.55
1,1,5,277,2.03971119133574,-1,1,BTP082 - KR Market Junction,7.55
1,2,2,276,2.3442028985507246,-1,1,BTP082 - KR Market Junction,7.55
1,8,19,275,3.06,-1,1,BTP082 - KR Market Junction,7.55
1,10,23,272,2.0551470588235294,-1,1,BTP082 - KR Market Junction,7.55
1,14,1,271,2.2804428044280445,-1,1,BTP082 - KR Market Junction,7.55
2,46,4,269,2.0111524163568775,-1,1,BTP051 - Safina Plaza Junction,7.16
1,13,19,266,3.0,-1,1,BTP082 - KR Market Junction,7.55
1,51,2,264,2.0454545454545454,-1,1,BTP082 - KR Market Junction,7.55
1,46,19,260,3.0,-1,1,BTP082 - KR Market Junction,7.55
1,47,5,259,2.0463320463320462,-1,1,BTP082 - KR Market Junction,7.55
1,52,0,258,2.104651162790698,-1,1,BTP082 - KR Market Junction,7.55
1,52,19,258,3.296511627906977,-1,1,BTP082 - KR Market Junction,7.55
1,11,19,257,3.0525291828793772,-1,1,BTP082 - KR Market Junction,7.55
1,6,5,256,2.3984375,-1,1,BTP082 - KR Market Junction,7.55
1,50,6,254,2.0511811023622046,-1,1,BTP082 - KR Market Junction,7.55
1,9,5,253,2.1739130434782608,-1,1,BTP082 - KR Market Junction,7.55
1,5,3,253,2.1067193675889326,-1,1,BTP082 - KR Market Junction,7.55
1,7,2,253,2.142292490118577,-1,1,BTP082 - KR Market Junction,7.55
1,4,5,252,2.011904761904762,-1,1,BTP082 - KR Market Junction,7.55
1,47,0,247,2.032388663967611,-1,1,BTP082 - KR Market Junction,7.55
1,1,6,247,2.016194331983806,-1,1,BTP082 - KR Market Junction,7.55
1,7,4,246,2.2804878048780486,-1,1,BTP082 - KR Market Junction,7.55
1,46,20,246,3.073170731707317,-1,1,BTP082 - KR Market Junction,7.55
1,49,5,245,2.0816326530612246,-1,1,BTP082 - KR Market Junction,7.55
1,3,3,244,2.122950819672131,-1,1,BTP082 - KR Market Junction,7.55
1,11,2,244,2.442622950819672,-1,1,BTP082 - KR Market Junction,7.55
1,48,2,243,2.1440329218106995,-1,1,BTP082 - KR Market Junction,7.55
1,12,4,242,2.0371900826446283,-1,1,BTP082 - KR Market Junction,7.55
1,1,23,241,2.145228215767635,-1,1,BTP082 - KR Market Junction,7.55
1,48,0,241,2.074688796680498,-1,1,BTP082 - KR Market Junction,7.55
10,1,22,239,2.9707112970711296,-1,1,No Junction,6.81
1,1,0,237,2.0,-1,1,BTP082 - KR Market Junction,7.55
1,51,23,236,2.1271186440677967,-1,1,BTP082 - KR Market Junction,7.55
1,10,3,235,2.204255319148936,-1,1,BTP082 - KR Market Junction,7.55
2,46,6,235,2.4382978723404256,-1,1,BTP051 - Safina Plaza Junction,7.16
1,52,5,233,2.051502145922747,-1,1,BTP082 - KR Market Junction,7.55
1,3,19,233,3.0,-1,1,BTP082 - KR Market Junction,7.55
1,5,5,232,2.086206896551724,-1,1,BTP082 - KR Market Junction,7.55
