rank,cluster,risk_tier,risk_score,top_junction,violation_count,avg_priority,peak_hour,peak_day_name,peak_weekend_frac,top_vehicle,center_lat,center_lon,recommended_action,display_name
1,373,🔴 CRITICAL,8.43,"BTP148 - 17th Main, Doopanahalli Bus Stop",277,4.182310469314079,8,Sun,0.6606498194945848,CAR,12.966456175812274,77.64154017509026,Deploy 2+ units Suns 8:00–10:00. Priority tow zone. Focus: CAR.,"17th Main, Doopanahalli Bus Stop"
2,89,🔴 CRITICAL,8.39,BTP096 - Gali Anjaneya Temple,1671,2.959305804907242,20,Sat,0.4308797127468581,SCOOTER,12.953175664120986,77.54226328508774,Deploy 2+ units Sats 20:00–22:00. Priority tow zone. Focus: SCOOTER.,Gali Anjaneya Temple
3,244,🔴 CRITICAL,8.38,"BTP202 - East End Main Road, Jayanagar",206,7.808252427184466,22,Sat,0.7135922330097088,CAR,12.91706029368932,77.59615208058253,Deploy 2+ units Sats 22:00–24:00. Priority tow zone. Focus: CAR.,"East End Main Road, Jayanagar"
4,64,🔴 CRITICAL,8.36,BTP048 - Shanthala Junction,1511,3.2905360688285903,2,Sat,0.3130377233620119,PASSENGER AUTO,12.977100818643354,77.57076297861093,Deploy 2+ units Sats 2:00–4:00. Priority tow zone. Focus: PASSENGER AUTO.,Shanthala Junction
5,142,🔴 CRITICAL,8.28,BTP140 - Madiwala Check Post,211,4.502369668246446,20,Fri,0.1848341232227488,CAR,12.930585793838862,77.60980804407582,Deploy 2+ units Fris 20:00–22:00. Priority tow zone. Focus: CAR.,Madiwala Check Post
6,6,🔴 CRITICAL,8.06,No Junction,4023,3.8011434253044993,19,Sun,0.3639075316927666,SCOOTER,13.00845642664574,77.69540603055289,Deploy 2+ units Suns 19:00–21:00. Priority tow zone. Focus: SCOOTER.,K.R. Pura — Road Segment
7,625,🔴 CRITICAL,8.01,BTP137 - Madiwala Traffic PS Junction,75,3.02,19,Sat,0.6666666666666666,SCOOTER,12.922555712,77.6226444,Deploy 2+ units Sats 19:00–21:00. Priority tow zone. Focus: SCOOTER.,Madiwala Traffic PS Junction
8,191,🔴 CRITICAL,7.98,BTP137 - Madiwala Traffic PS Junction,97,3.850515463917526,8,Thu,0.3402061855670103,CAR,12.92007902480262,77.62099891842328,Deploy 2+ units Thus 8:00–10:00. Priority tow zone. Focus: CAR.,Madiwala Traffic PS Junction
9,307,🔴 CRITICAL,7.77,BTP136 - Hosur-Tavarkere Road Junction,62,5.798387096774194,20,Wed,0.1290322580645161,CAR,12.935623175806452,77.60847435322582,Deploy 2+ units Weds 20:00–22:00. Priority tow zone. Focus: CAR.,Hosur-Tavarkere Road Junction
10,343,🔴 CRITICAL,7.77,"BTP148 - 17th Main, Doopanahalli Bus Stop",195,4.107692307692307,4,Sun,0.3692307692307692,CAR,12.963574302401838,77.6415412276157,Deploy 2+ units Suns 4:00–6:00. Priority tow zone. Focus: CAR.,"17th Main, Doopanahalli Bus Stop"
