cluster,hour,count,risk_score,risk_tier
0,0,15,7.18,🔴 CRITICAL
0,1,12,7.18,🔴 CRITICAL
0,2,11,7.18,🔴 CRITICAL
0,3,6,7.18,🔴 CRITICAL
0,4,46,7.18,🔴 CRITICAL
0,5,53,7.18,🔴 CRITICAL
0,6,141,7.18,🔴 CRITICAL
0,7,82,7.18,🔴 CRITICAL
0,8,26,7.18,🔴 CRITICAL
0,9,14,7.18,🔴 CRITICAL
0,10,1,7.18,🔴 CRITICAL
0,18,1,7.18,🔴 CRITICAL
0,19,4,7.18,🔴 CRITICAL
0,20,23,7.18,🔴 CRITICAL
0,21,15,7.18,🔴 CRITICAL
0,22,17,7.18,🔴 CRITICAL
0,23,9,7.18,🔴 CRITICAL
1,0,4396,7.55,🔴 CRITICAL
1,1,3275,7.55,🔴 CRITICAL
1,2,4801,7.55,🔴 CRITICAL
1,3,6686,7.55,🔴 CRITICAL
1,4,6417,7.55,🔴 CRITICAL
1,5,5469,7.55,🔴 CRITICAL
1,6,3631,7.55,🔴 CRITICAL
1,7,1445,7.55,🔴 CRITICAL
1,8,891,7.55,🔴 CRITICAL
1,9,390,7.55,🔴 CRITICAL
1,10,28,7.55,🔴 CRITICAL
1,11,23,7.55,🔴 CRITICAL
1,12,9,7.55,🔴 CRITICAL
1,13,3,7.55,🔴 CRITICAL
1,14,3,7.55,🔴 CRITICAL
1,15,46,7.55,🔴 CRITICAL
1,16,313,7.55,🔴 CRITICAL
1,17,554,7.55,🔴 CRITICAL
1,18,853,7.55,🔴 CRITICAL
1,19,5030,7.55,🔴 CRITICAL
1,20,3087,7.55,🔴 CRITICAL
1,21,2414,7.55,🔴 CRITICAL
1,22,2309,7.55,🔴 CRITICAL
1,23,3454,7.55,🔴 CRITICAL
2,0,804,7.16,🔴 CRITICAL
2,1,740,7.16,🔴 CRITICAL
2,2,2331,7.16,🔴 CRITICAL
2,3,2539,7.16,🔴 CRITICAL
2,4,3177,7.16,🔴 CRITICAL
2,5,3644,7.16,🔴 CRITICAL
2,6,2342,7.16,🔴 CRITICAL
2,7,1244,7.16,🔴 CRITICAL
2,8,909,7.16,🔴 CRITICAL
2,9,424,7.16,🔴 CRITICAL
2,10,15,7.16,🔴 CRITICAL
2,12,4,7.16,🔴 CRITICAL
2,17,1,7.16,🔴 CRITICAL
2,18,8,7.16,🔴 CRITICAL
2,19,47,7.16,🔴 CRITICAL
2,20,14,7.16,🔴 CRITICAL
2,21,12,7.16,🔴 CRITICAL
2,22,110,7.16,🔴 CRITICAL
2,23,330,7.16,🔴 CRITICAL
3,0,11,6.79,🟠 HIGH
3,1,28,6.79,🟠 HIGH
3,2,14,6.79,🟠 HIGH
3,3,24,6.79,🟠 HIGH
3,4,7,6.79,🟠 HIGH
3,5,7,6.79,🟠 HIGH
3,6,157,6.79,🟠 HIGH
3,7,207,6.79,🟠 HIGH
3,8,82,6.79,🟠 HIGH
3,9,49,6.79,🟠 HIGH
3,18,4,6.79,🟠 HIGH
3,19,2,6.79,🟠 HIGH
3,20,12,6.79,🟠 HIGH
3,21,117,6.79,🟠 HIGH
3,22,97,6.79,🟠 HIGH
3,23,44,6.79,🟠 HIGH
4,0,1012,6.39,🟠 HIGH
4,1,1148,6.39,🟠 HIGH
4,2,1373,6.39,🟠 HIGH
4,3,1283,6.39,🟠 HIGH
4,4,1013,6.39,🟠 HIGH
4,5,950,6.39,🟠 HIGH
4,6,563,6.39,🟠 HIGH
4,7,153,6.39,🟠 HIGH
4,8,125,6.39,🟠 HIGH
4,9,106,6.39,🟠 HIGH
4,12,1,6.39,🟠 HIGH
4,13,4,6.39,🟠 HIGH
4,15,2,6.39,🟠 HIGH
4,18,4,6.39,🟠 HIGH
4,19,75,6.39,🟠 HIGH
4,20,147,6.39,🟠 HIGH
4,21,378,6.39,🟠 HIGH
4,22,599,6.39,🟠 HIGH
4,23,737,6.39,🟠 HIGH
5,0,19,3.18,🟡 MEDIUM
5,1,8,3.18,🟡 MEDIUM
5,2,9,3.18,🟡 MEDIUM
5,3,14,3.18,🟡 MEDIUM
5,4,1,3.18,🟡 MEDIUM
5,5,4,3.18,🟡 MEDIUM
5,6,3,3.18,🟡 MEDIUM
5,10,1,3.18,🟡 MEDIUM
5,11,1,3.18,🟡 MEDIUM
5,12,1,3.18,🟡 MEDIUM
6,0,104,8.06,🔴 CRITICAL
6,1,53,8.06,🔴 CRITICAL
6,2,138,8.06,🔴 CRITICAL
6,3,129,8.06,🔴 CRITICAL
6,4,182,8.06,🔴 CRITICAL
6,5,344,8.06,🔴 CRITICAL
6,6,303,8.06,🔴 CRITICAL
6,7,184,8.06,🔴 CRITICAL
6,8,98,8.06,🔴 CRITICAL
6,9,24,8.06,🔴 CRITICAL
6,10,5,8.06,🔴 CRITICAL
6,11,10,8.06,🔴 CRITICAL
6,12,6,8.06,🔴 CRITICAL
6,13,4,8.06,🔴 CRITICAL
6,14,5,8.06,🔴 CRITICAL
6,15,13,8.06,🔴 CRITICAL
6,16,79,8.06,🔴 CRITICAL
6,17,192,8.06,🔴 CRITICAL
6,18,665,8.06,🔴 CRITICAL
6,19,824,8.06,🔴 CRITICAL
6,20,409,8.06,🔴 CRITICAL
6,21,90,8.06,🔴 CRITICAL
6,22,80,8.06,🔴 CRITICAL
6,23,82,8.06,🔴 CRITICAL
7,0,9,6.79,🟠 HIGH
7,1,4,6.79,🟠 HIGH
7,2,12,6.79,🟠 HIGH
7,3,10,6.79,🟠 HIGH
7,4,21,6.79,🟠 HIGH
7,5,27,6.79,🟠 HIGH
7,6,46,6.79,🟠 HIGH
7,7,31,6.79,🟠 HIGH
7,8,9,6.79,🟠 HIGH
7,10,9,6.79,🟠 HIGH
7,19,3,6.79,🟠 HIGH
7,20,2,6.79,🟠 HIGH
7,21,9,6.79,🟠 HIGH
7,22,10,6.79,🟠 HIGH
7,23,4,6.79,🟠 HIGH
8,0,13,7.19,🔴 CRITICAL
8,1,15,7.19,🔴 CRITICAL
8,2,14,7.19,🔴 CRITICAL
8,3,13,7.19,🔴 CRITICAL
8,4,49,7.19,🔴 CRITICAL
8,5,127,7.19,🔴 CRITICAL
8,6,174,7.19,🔴 CRITICAL
8,7,192,7.19,🔴 CRITICAL
8,8,233,7.19,🔴 CRITICAL
8,9,163,7.19,🔴 CRITICAL
8,10,9,7.19,🔴 CRITICAL
8,11,7,7.19,🔴 CRITICAL
8,20,4,7.19,🔴 CRITICAL
8,21,29,7.19,🔴 CRITICAL
8,22,32,7.19,🔴 CRITICAL
8,23,48,7.19,🔴 CRITICAL
9,0,22,6.42,🟠 HIGH
9,1,13,6.42,🟠 HIGH
9,2,71,6.42,🟠 HIGH
9,3,13,6.42,🟠 HIGH
9,4,35,6.42,🟠 HIGH
9,5,108,6.42,🟠 HIGH
9,6,55,6.42,🟠 HIGH
9,7,61,6.42,🟠 HIGH
9,8,54,6.42,🟠 HIGH
9,9,16,6.42,🟠 HIGH
9,10,6,6.42,🟠 HIGH
9,11,5,6.42,🟠 HIGH
9,19,20,6.42,🟠 HIGH
9,20,32,6.42,🟠 HIGH
9,21,25,6.42,🟠 HIGH
9,22,37,6.42,🟠 HIGH
9,23,23,6.42,🟠 HIGH
10,0,1307,6.81,🟠 HIGH
10,1,660,6.81,🟠 HIGH
10,2,1029,6.81,🟠 HIGH
10,3,1143,6.81,🟠 HIGH
10,4,890,6.81,🟠 HIGH
10,5,543,6.81,🟠 HIGH
10,6,217,6.81,🟠 HIGH
10,7,67,6.81,🟠 HIGH
10,8,76,6.81,🟠 HIGH
10,9,20,6.81,🟠 HIGH
10,11,2,6.81,🟠 HIGH
10,19,83,6.81,🟠 HIGH
10,20,141,6.81,🟠 HIGH
10,21,456,6.81,🟠 HIGH
10,22,1328,6.81,🟠 HIGH
10,23,1288,6.81,🟠 HIGH
11,0,57,5.43,🟠 HIGH
11,1,17,5.43,🟠 HIGH
11,2,43,5.43,🟠 HIGH
11,3,32,5.43,🟠 HIGH
11,4,32,5.43,🟠 HIGH
11,5,17,5.43,🟠 HIGH
11,6,3,5.43,🟠 HIGH
11,8,1,5.43,🟠 HIGH
11,20,5,5.43,🟠 HIGH
11,21,1,5.43,🟠 HIGH
11,22,20,5.43,🟠 HIGH
11,23,16,5.43,🟠 HIGH
12,0,14,4.87,🟠 HIGH
12,1,8,4.87,🟠 HIGH
12,2,3,4.87,🟠 HIGH
12,3,4,4.87,🟠 HIGH
12,4,10,4.87,🟠 HIGH
12,5,17,4.87,🟠 HIGH
12,6,15,4.87,🟠 HIGH
12,7,13,4.87,🟠 HIGH
12,8,5,4.87,🟠 HIGH
12,11,1,4.87,🟠 HIGH
12,21,6,4.87,🟠 HIGH
12,23,4,4.87,🟠 HIGH
13,0,74,4.56,🟠 HIGH
13,1,35,4.56,🟠 HIGH
13,2,40,4.56,🟠 HIGH
13,3,100,4.56,🟠 HIGH
13,4,103,4.56,🟠 HIGH
13,5,50,4.56,🟠 HIGH
13,6,33,4.56,🟠 HIGH
13,7,9,4.56,🟠 HIGH
13,8,2,4.56,🟠 HIGH
13,18,1,4.56,🟠 HIGH
13,20,8,4.56,🟠 HIGH
13,21,9,4.56,🟠 HIGH
13,22,25,4.56,🟠 HIGH
13,23,31,4.56,🟠 HIGH
14,0,82,6.24,🟠 HIGH
14,1,102,6.24,🟠 HIGH
14,2,193,6.24,🟠 HIGH
14,3,99,6.24,🟠 HIGH
14,4,77,6.24,🟠 HIGH
14,5,79,6.24,🟠 HIGH
14,6,67,6.24,🟠 HIGH
14,7,55,6.24,🟠 HIGH
14,8,60,6.24,🟠 HIGH
14,9,8,6.24,🟠 HIGH
14,11,6,6.24,🟠 HIGH
14,13,1,6.24,🟠 HIGH
14,21,3,6.24,🟠 HIGH
14,22,4,6.24,🟠 HIGH
14,23,48,6.24,🟠 HIGH
15,0,31,7.18,🔴 CRITICAL
15,1,17,7.18,🔴 CRITICAL
15,2,142,7.18,🔴 CRITICAL
15,3,67,7.18,🔴 CRITICAL
15,4,107,7.18,🔴 CRITICAL
15,5,203,7.18,🔴 CRITICAL
15,6,162,7.18,🔴 CRITICAL
15,7,107,7.18,🔴 CRITICAL
15,8,52,7.18,🔴 CRITICAL
15,9,2,7.18,🔴 CRITICAL
15,11,1,7.18,🔴 CRITICAL
15,18,28,7.18,🔴 CRITICAL
15,19,154,7.18,🔴 CRITICAL
15,20,111,7.18,🔴 CRITICAL
15,21,60,7.18,🔴 CRITICAL
15,22,23,7.18,🔴 CRITICAL
15,23,36,7.18,🔴 CRITICAL
16,0,188,7.12,🔴 CRITICAL
16,1,236,7.12,🔴 CRITICAL
16,2,373,7.12,🔴 CRITICAL
16,3,419,7.12,🔴 CRITICAL
16,4,258,7.12,🔴 CRITICAL
