cluster,forecast_date,day_name,alert_level,spike_probability,top_junction,risk_score,risk_tier,center_lat,center_lon
310,2024-04-09,Tue,🔴 CRITICAL,0.911,No Junction,4.9,🟠 HIGH,13.027606721893491,77.58600732366864
265,2024-04-09,Tue,🔴 CRITICAL,0.909,No Junction,5.49,🟠 HIGH,12.913767463397692,77.67808541161251
379,2024-04-09,Tue,🔴 CRITICAL,0.907,"BTP177 - Aurobindo Circle, ORR",2.97,🟡 MEDIUM,12.91890434375,77.583662325
214,2024-04-09,Tue,🔴 CRITICAL,0.903,"BTP117 - 9th Cross, Kanakapura Road",2.97,🟡 MEDIUM,12.90984015625,77.57301098125
258,2024-04-09,Tue,🔴 CRITICAL,0.903,No Junction,6.7,🟠 HIGH,13.045835333653846,77.75033385673076
348,2024-04-09,Tue,🔴 CRITICAL,0.9,No Junction,7.03,🔴 CRITICAL,13.015297172930415,77.55513743564664
536,2024-04-09,Tue,🔴 CRITICAL,0.899,No Junction,3.39,🟡 MEDIUM,13.010633589473684,77.53595598421053
380,2024-04-09,Tue,🔴 CRITICAL,0.897,No Junction,2.92,🟡 MEDIUM,12.87160995,77.53893803461538
236,2024-04-09,Tue,🔴 CRITICAL,0.896,No Junction,4.97,🟠 HIGH,12.880852268055555,77.64529081805556
392,2024-04-09,Tue,🔴 CRITICAL,0.896,No Junction,4.53,🟠 HIGH,13.055065618181818,77.53463033090908
268,2024-04-09,Tue,🔴 CRITICAL,0.895,No Junction,2.76,🟡 MEDIUM,12.966187728,77.548515872
406,2024-04-09,Tue,🔴 CRITICAL,0.894,No Junction,5.18,🟠 HIGH,12.883601068749998,77.64290444166666
358,2024-04-09,Tue,🔴 CRITICAL,0.893,No Junction,3.39,🟡 MEDIUM,12.97313236,77.6002892942857
290,2024-04-09,Tue,🔴 CRITICAL,0.892,No Junction,5.49,🟠 HIGH,12.974821364207337,77.62543291164333
371,2024-04-09,Tue,🔴 CRITICAL,0.892,BTP121 - KH Circle,5.68,🟠 HIGH,12.951478011111112,77.59056604603175
264,2024-04-09,Tue,🔴 CRITICAL,0.891,No Junction,1.9,🟢 LOW,12.91423073,77.638220015
299,2024-04-09,Tue,🔴 CRITICAL,0.891,No Junction,4.37,🟠 HIGH,12.991842223943662,77.59439171408451
367,2024-04-09,Tue,🔴 CRITICAL,0.891,"BTP033 - Sophia High School, Sankey Road",4.27,🟠 HIGH,12.98589671875,77.58852836875
320,2024-04-09,Tue,🔴 CRITICAL,0.89,No Junction,5.42,🟠 HIGH,12.987058693694232,77.61943576738648
390,2024-04-09,Tue,🔴 CRITICAL,0.89,No Junction,4.6,🟠 HIGH,12.97373118012048,77.60935364277108
140,2024-04-09,Tue,🔴 CRITICAL,0.888,No Junction,5.04,🟠 HIGH,12.990307040769231,77.57460383423077
540,2024-04-09,Tue,🔴 CRITICAL,0.888,No Junction,3.88,🟡 MEDIUM,13.007162695238094,77.75728265714285
352,2024-04-09,Tue,🔴 CRITICAL,0.887,No Junction,5.54,🟠 HIGH,13.099283572897384,77.59741708574597
451,2024-04-09,Tue,🔴 CRITICAL,0.887,No Junction,4.34,🟠 HIGH,13.04067510886076,77.58979217341772
280,2024-04-09,Tue,🔴 CRITICAL,0.884,"BTP226 - 33rd Cross, 11th Main, Jayanagar",5.94,🟠 HIGH,12.926234069026547,77.58433439026548
354,2024-04-09,Tue,🔴 CRITICAL,0.884,BTP119 - Minerva Circle,6.03,🟠 HIGH,12.955221057446808,77.57982232978723
423,2024-04-09,Tue,🔴 CRITICAL,0.884,BTP180 - Swagath Poornima Theatre,7.13,🔴 CRITICAL,12.96121301654676,77.58675334892087
248,2024-04-09,Tue,🔴 CRITICAL,0.883,No Junction,5.49,🟠 HIGH,12.987007057390027,77.5192376010845
378,2024-04-09,Tue,🔴 CRITICAL,0.883,No Junction,4.23,🟠 HIGH,13.004200836994617,77.75694498495278
252,2024-04-09,Tue,🔴 CRITICAL,0.881,No Junction,1.97,🟢 LOW,12.893334814285714,77.5988900047619
279,2024-04-09,Tue,🔴 CRITICAL,0.881,"BTP191 - 40th Cross, 4th Main, Jayanagar",5.87,🟠 HIGH,12.919807925974023,77.58366238961038
232,2024-04-09,Tue,🔴 CRITICAL,0.88,No Junction,4.15,🟠 HIGH,12.88175226625,77.59585130625001
502,2024-04-09,Tue,🔴 CRITICAL,0.88,"BTP177 - Aurobindo Circle, ORR",5.91,🟠 HIGH,12.914178702380951,77.58580858333333
395,2024-04-09,Tue,🔴 CRITICAL,0.879,No Junction,4.63,🟠 HIGH,12.901606989473684,77.66052715526315
642,2024-04-09,Tue,🔴 CRITICAL,0.879,BTP109 - Dewan Madhava Rao Junction,3.79,🟡 MEDIUM,12.942167804545454,77.5719432
314,2024-04-09,Tue,🔴 CRITICAL,0.878,No Junction,5.69,🟠 HIGH,12.955749143181816,77.718445875
521,2024-04-09,Tue,🔴 CRITICAL,0.877,No Junction,3.11,🟡 MEDIUM,13.017410806451611,77.59180035806452
534,2024-04-09,Tue,🔴 CRITICAL,0.877,No Junction,3.12,🟡 MEDIUM,13.037728012962964,77.58954553518518
